temperature,humidity,ambient_light,soil_moisture,ethylene_ppb,CO2_ppm
15.82,77.21,8021.2,16.97,4.22,760.42
29.94,36.27,8664.3,18.38,1.76,677.28
15.97,75.17,9533.99,31.64,4.68,318.62
18.01,38.67,3703.06,30.92,2.97,648.12
30.54,69.97,6365.36,19.71,3.79,549.92
30.58,41.32,1870.17,31.32,4.38,458.38
29.39,61.3,9801.49,20.52,3.76,731.42
17.74,57.2,9154.7,14.02,3.98,688.41
27.48,68.07,6693.77,23.2,0.59,599.99
25.88,84.04,7692.01,19.8,3.78,576.49
20.54,72.84,9055.96,16.61,1.0,601.51
31.62,60.07,9432.67,22.94,3.86,376.63
21.68,40.03,1241.85,13.26,3.26,396.95
27.2,35.28,1824.42,18.55,1.12,305.21
24.84,75.96,4070.84,29.47,4.78,589.0
34.33,84.99,5616.83,17.71,3.22,572.53
25.59,49.91,9124.58,20.97,4.83,532.8
31.79,65.74,3981.88,22.45,4.74,707.45
33.12,74.95,1676.91,20.57,3.88,517.35
25.89,39.81,2531.37,26.32,4.83,322.49
20.96,79.52,9268.54,33.75,2.44,741.15
29.12,85.77,2153.71,25.38,3.34,481.65
20.2,58.6,3864.61,31.19,3.54,303.24
32.29,54.5,3065.52,27.26,1.2,590.67
29.61,88.51,5241.32,23.86,2.03,444.53
25.03,80.06,9397.71,27.44,3.24,444.12
25.08,71.72,7936.92,18.16,1.67,650.64
18.3,36.45,7278.43,29.55,3.72,322.44
30.38,84.7,2711.22,16.19,2.47,633.62
29.72,30.07,9097.35,16.17,2.32,634.91
18.45,78.26,9319.41,39.66,2.11,308.95
32.38,74.82,9094.92,21.72,3.55,398.48
19.01,57.23,1354.97,26.78,0.54,681.83
20.94,54.29,7655.74,16.68,3.31,463.73
30.03,43.1,3233.06,34.67,0.88,304.79
23.04,53.21,2303.95,10.02,3.13,640.37
27.61,66.08,5196.27,22.37,4.98,433.83
28.97,67.33,7446.55,13.8,0.9,743.29
31.64,60.23,4005.35,37.97,1.19,744.48
19.62,40.79,6783.24,25.48,1.05,454.94
19.75,57.09,6725.9,30.04,0.58,626.58
17.94,48.0,8781.57,37.12,4.86,701.28
20.05,87.43,6951.81,21.02,3.42,369.5
18.57,59.55,6290.31,13.87,3.68,323.13
25.63,51.61,7088.69,36.4,3.94,372.16
15.79,61.39,4140.63,23.71,1.49,517.21
18.35,67.89,1918.57,15.91,1.81,539.39
17.78,43.77,5310.99,21.41,1.08,574.31
24.16,32.68,5840.84,19.92,2.15,682.16
26.7,89.29,1602.33,39.54,3.64,745.05
23.45,35.77,9163.41,37.11,3.75,575.34
18.97,36.0,3083.71,35.48,1.38,715.08
20.19,66.92,6097.96,34.74,2.78,305.05
19.65,39.9,5135.07,38.77,2.39,754.29
17.21,72.89,3841.74,18.56,1.5,575.91
25.0,83.3,5894.6,31.83,2.93,371.84
34.12,69.6,9095.35,13.79,3.72,493.64
29.57,45.26,7471.09,11.18,0.71,598.76
23.76,32.56,9052.76,26.75,0.55,727.31
33.43,56.24,7871.47,34.57,1.61,491.2
28.58,72.22,2894.02,11.95,1.4,627.11
28.08,44.29,8115.58,29.98,2.39,651.46
22.11,88.76,4472.03,15.39,1.63,315.61
22.36,88.67,2978.68,12.86,3.51,430.61
25.71,31.8,8089.05,19.63,4.46,675.75
26.15,57.47,3077.31,37.34,2.63,447.8
15.92,58.91,8956.64,34.78,1.21,417.89
25.82,46.96,4622.27,31.07,1.34,324.14
26.98,63.72,8618.7,39.9,1.83,738.12
25.73,43.37,8526.44,22.71,4.57,494.23
20.44,87.76,9128.06,13.11,4.96,498.55
27.84,56.01,6750.72,28.27,2.47,430.04
27.73,74.67,6520.8,20.19,4.96,325.48
25.36,60.02,8714.11,26.47,1.06,536.04
31.22,45.4,1877.65,13.13,0.98,566.87
23.72,74.51,6103.02,21.15,3.06,548.59
19.76,53.29,7293.37,19.39,3.7,759.66
30.55,89.06,3254.68,10.36,0.69,579.72
21.78,30.67,6442.62,25.33,2.85,628.62
16.59,34.99,4655.72,35.64,4.11,547.13
34.58,67.31,8998.3,36.68,2.18,592.75
30.88,81.58,6959.06,20.5,4.6,587.15
18.87,86.05,9555.06,17.76,1.4,620.6
27.68,54.91,4898.86,15.59,4.7,627.62
27.73,31.04,1568.21,31.3,3.16,780.92
18.04,50.79,9190.75,15.06,4.75,401.84
32.28,70.24,8805.9,27.7,2.97,788.8
24.28,49.33,6809.85,25.37,4.07,641.04
26.28,63.39,3871.55,27.19,3.77,339.39
22.25,36.72,7287.53,30.47,2.63,702.47
31.66,62.92,9938.19,17.12,2.26,789.95
31.44,65.34,3910.46,30.03,4.91,499.21
15.98,46.6,5859.01,10.19,1.0,590.43
26.75,63.64,9124.47,24.2,2.07,782.5
16.76,54.4,1703.57,36.66,4.93,737.15
16.21,85.39,5073.9,29.29,4.75,564.86
20.93,37.34,5067.07,33.5,2.18,529.44
27.65,36.48,9788.42,15.47,3.83,357.27
31.75,48.35,5015.76,36.75,1.87,457.55
17.43,85.07,9444.97,37.07,1.47,785.08
22.45,86.82,4367.95,29.95,1.65,697.16
27.17,69.42,3374.96,10.87,3.8,565.48
30.66,41.37,5098.63,39.96,2.21,527.78
26.81,46.6,5795.88,24.92,4.1,462.27
19.23,37.45,5793.86,22.92,4.42,385.64
21.13,83.88,2975.49,37.17,2.76,309.77
31.99,83.04,5747.29,20.28,1.39,768.67
28.55,33.8,8712.79,36.63,1.45,554.4
32.76,63.77,4164.65,36.63,2.64,501.92
20.78,86.59,5394.34,21.37,3.79,458.67
22.74,45.56,8447.6,32.81,4.77,579.36
32.9,77.01,1566.18,30.1,3.02,453.12
22.09,69.17,7593.53,28.19,0.87,642.12
28.99,61.46,7491.25,23.62,4.43,661.36
15.6,70.33,5198.41,22.73,3.01,715.86
32.75,66.95,7138.99,12.88,2.0,669.26
15.53,69.44,6141.37,37.7,2.32,482.59
22.11,36.89,9125.36,20.81,4.38,462.87
20.7,58.82,9072.64,30.1,4.38,511.4
28.38,32.32,3535.42,18.65,4.05,306.49
34.16,65.4,3637.95,23.43,1.85,630.57
21.43,88.52,8253.04,36.62,4.67,742.05
21.64,41.88,4345.15,26.5,2.04,414.35
27.21,77.14,4148.24,28.19,1.82,559.43
17.98,47.9,8502.08,13.73,2.29,349.15
20.55,35.35,3916.7,12.06,0.99,560.96
19.86,77.68,9069.7,26.57,1.0,531.33
19.39,89.62,2288.56,25.15,1.32,590.69
22.54,73.81,2601.54,26.3,1.18,668.98
30.32,42.88,9669.09,21.89,1.33,569.67
24.66,35.23,8277.91,36.07,1.16,625.3
18.52,40.31,1133.34,22.64,3.74,712.5
31.46,83.23,2689.1,12.88,3.97,553.17
17.89,60.85,2000.08,37.25,2.47,758.99
17.3,31.13,4278.39,17.93,1.22,691.3
20.23,66.02,4951.1,35.65,4.37,634.48
33.19,67.39,7489.79,31.48,2.93,545.38
21.88,87.49,1072.55,39.96,4.92,594.25
33.12,42.49,5685.74,14.8,1.54,604.15
15.86,85.43,6351.96,12.07,3.17,314.12
24.23,76.57,4024.98,39.66,4.59,656.82
30.18,79.52,1936.94,12.58,2.1,419.33
28.5,39.6,7419.02,10.97,2.66,741.89
23.23,55.52,8412.14,18.5,4.56,730.94
33.92,71.59,6195.82,23.65,3.3,469.62
31.46,31.02,3333.94,37.22,1.46,654.06
30.91,68.41,6488.83,37.36,4.98,714.56
30.41,43.5,4717.0,14.76,1.55,735.99
26.86,53.51,4897.46,37.65,4.29,528.6
22.63,32.79,9100.68,28.27,2.27,721.35
31.09,62.85,4678.88,37.23,3.7,465.27
26.91,67.22,6098.46,25.25,1.59,730.89
17.24,66.88,3310.48,39.38,1.59,790.07
33.69,40.92,3249.12,12.94,1.35,330.59
26.68,78.1,8805.99,37.14,4.2,452.9
28.6,53.63,1517.95,36.57,3.26,636.32
27.51,84.16,7427.31,35.48,4.73,481.63
23.47,45.19,3213.26,29.11,3.63,305.01
34.88,61.31,5233.3,27.45,3.75,460.63
23.46,38.02,8615.07,28.74,3.43,404.55
29.22,65.17,4433.91,34.28,2.56,733.49
19.63,87.63,2607.81,15.48,0.76,720.16
23.72,70.08,5157.99,14.22,1.05,569.87
20.84,60.25,7662.99,34.71,1.58,730.85
34.4,75.99,2363.65,39.75,4.28,760.61
26.5,44.29,6338.97,18.17,2.23,591.4
34.16,33.22,8040.05,38.95,1.35,454.96
33.1,69.15,8486.44,33.15,2.58,436.54
32.08,52.16,5358.86,24.27,1.32,501.79
19.08,66.39,8690.94,14.34,2.36,644.69
20.71,88.9,4264.32,28.01,4.83,562.51
33.17,57.88,4755.68,38.0,0.63,657.79
15.95,83.84,3842.23,14.51,3.72,772.69
20.22,73.5,5347.58,18.15,3.85,661.0
26.01,76.13,8990.82,38.0,3.33,405.98
15.8,75.03,8602.57,37.87,2.23,660.65
27.4,81.59,8240.86,26.41,2.28,458.76
19.54,87.92,4994.93,14.3,4.7,337.82
32.66,52.02,8999.53,39.61,3.29,380.05
27.55,81.78,5611.72,16.14,4.37,370.36
30.33,54.33,4757.16,24.17,3.41,569.62
17.44,33.23,1332.31,38.75,3.26,334.26
27.41,45.09,7283.21,27.96,4.83,761.94
32.25,34.0,3576.17,16.25,3.17,635.78
23.64,75.0,1750.38,22.44,1.57,581.54
18.9,69.05,6130.44,14.67,4.4,520.68
22.59,68.78,7963.26,36.35,3.32,760.49
22.28,69.73,7554.78,29.32,2.13,503.96
34.08,61.02,3069.54,27.97,4.11,419.01
15.81,64.88,2299.38,32.94,2.6,627.1
25.62,34.09,8929.4,29.73,3.49,693.6
33.41,84.44,9371.56,31.26,0.75,549.03
19.43,46.94,3381.2,15.81,3.51,540.76
19.78,56.17,3327.82,28.07,1.8,753.54
18.83,33.65,2455.23,28.12,0.57,690.43
20.32,78.6,9361.85,27.89,4.92,486.56
32.66,73.98,5502.11,33.71,1.51,351.98
26.74,74.66,4999.41,15.59,1.96,399.85
31.24,34.13,4260.04,21.87,0.87,536.6
33.17,48.32,4413.06,25.69,4.06,405.07
29.62,48.41,5572.32,16.43,0.93,385.47
33.4,87.66,8023.35,13.02,1.46,543.21
30.33,73.49,6007.91,20.13,3.11,543.0
34.6,63.3,2297.82,13.74,2.03,707.48
31.73,33.41,9589.98,35.36,1.06,598.56
16.66,31.54,2586.02,16.12,1.29,618.89
17.6,87.51,7438.35,33.49,1.13,725.89
19.07,82.21,3191.9,13.09,1.6,639.22
27.86,36.88,8163.95,20.06,4.21,451.65
22.15,76.37,6368.91,38.79,1.41,727.79
25.1,43.65,4430.58,30.33,2.44,381.8
32.48,68.87,2918.72,23.62,2.44,560.72
21.36,37.05,1386.52,12.24,1.04,457.14
31.01,72.46,5225.98,26.13,2.88,662.28
17.74,38.86,4000.26,33.27,2.07,404.74
31.46,41.87,6810.45,36.87,1.99,445.41
17.83,41.44,4724.19,14.04,0.56,444.43
15.23,34.77,9445.86,35.78,1.54,351.54
22.68,60.35,9498.07,16.94,4.48,300.14
19.56,42.64,7528.6,21.77,4.94,612.3
28.05,57.68,5225.84,39.18,1.09,440.69
26.84,67.5,9452.02,38.91,1.52,555.91
34.54,64.81,7808.92,18.2,3.36,636.69
32.14,53.73,3392.16,19.67,4.7,601.71
23.61,69.73,7018.94,39.77,3.33,370.39
23.17,58.79,7094.14,37.94,3.39,796.17
33.75,47.84,8842.81,19.69,1.76,786.98
25.89,43.98,1097.89,32.17,4.73,390.97
27.64,89.61,3440.3,21.03,4.19,501.7
34.19,65.84,3983.21,12.49,4.76,595.81
17.95,53.09,3721.15,34.26,4.23,582.38
28.04,79.61,2800.19,34.46,4.88,478.7
26.76,48.54,2331.31,30.36,0.99,521.66
23.79,30.44,9235.05,11.29,1.74,537.5
29.32,57.19,8797.43,10.09,1.29,782.25
23.0,53.68,6307.6,30.83,2.06,796.67
25.82,38.03,8599.72,34.04,0.83,436.83
32.87,33.34,7650.83,26.01,2.82,491.13
21.23,88.42,5618.22,11.23,2.42,486.15
26.61,57.15,4078.57,14.34,2.25,786.71
16.54,58.09,7389.09,22.39,2.92,778.44
28.17,46.2,1448.11,21.5,1.66,455.5
26.19,71.56,1616.03,16.67,1.62,574.47
32.61,33.82,2099.55,39.41,4.37,508.27
18.19,58.97,4028.17,28.69,3.5,385.04
25.28,58.26,3824.31,23.55,4.61,538.94
24.8,83.6,3085.44,19.09,3.75,534.89
25.78,82.83,5727.95,13.31,3.68,668.94
32.06,36.48,6041.5,17.83,2.5,329.99
25.05,49.71,4499.47,21.35,4.64,626.79
34.42,74.28,7697.19,39.69,0.82,332.68
21.35,47.5,8223.55,25.11,1.39,536.54
33.22,31.85,8851.23,24.16,2.28,778.71
29.07,60.08,4325.35,34.84,1.58,699.49
32.19,85.06,9388.2,34.82,4.15,775.0
32.21,79.15,2421.42,37.57,4.58,343.37
17.36,70.47,3983.25,16.57,2.85,568.49
27.61,59.43,8264.19,20.4,3.42,374.18
33.26,80.8,4242.53,28.14,3.3,769.27
20.64,59.93,8523.88,19.9,1.39,371.61
24.86,70.82,9384.65,15.56,2.8,388.52
19.51,38.63,9547.19,39.51,2.88,640.57
15.11,50.57,8488.12,32.54,1.29,707.12
19.84,81.78,3167.62,21.18,4.58,444.54
27.4,88.66,1634.78,27.76,0.94,734.3
16.79,55.73,8613.8,36.26,4.0,617.16
23.05,40.88,6899.17,34.62,4.01,708.84
18.72,51.15,2903.02,26.85,3.5,588.91
33.13,50.46,4096.32,30.21,1.96,716.33
26.75,84.16,4022.79,11.26,3.94,598.72
15.86,51.1,6659.02,19.33,2.58,579.76
22.01,78.87,3210.95,35.52,3.37,313.17
26.19,54.6,5594.58,16.94,1.77,751.12
18.87,49.5,1902.47,27.93,3.99,468.85
17.27,65.23,5140.34,11.99,1.29,507.75
23.16,47.01,6947.96,21.76,2.34,322.57
28.41,63.05,9112.54,15.37,2.09,382.16
22.59,70.74,7688.06,29.16,4.67,794.9
27.64,66.52,2888.82,25.97,3.09,718.45
16.05,52.74,3609.73,37.03,0.97,459.68
25.14,37.37,8439.6,27.29,1.36,715.92
31.47,42.19,3515.96,29.18,4.71,444.17
32.26,45.7,8724.84,29.9,0.71,364.01
30.82,51.72,7016.08,17.28,2.59,594.82
30.06,76.75,3075.72,37.12,2.41,584.22
20.7,58.63,5497.5,28.86,4.36,422.23
15.06,41.67,1202.1,35.54,1.41,317.43
21.67,58.67,2213.14,39.5,3.1,740.28
31.96,36.5,2212.05,31.16,4.9,424.64
32.29,46.15,3358.36,31.01,1.63,508.73
25.91,41.89,8420.88,19.69,3.61,513.83
17.3,84.22,1375.37,22.99,4.06,624.0
28.28,84.68,6069.07,12.04,3.62,643.56
21.29,68.71,9780.02,32.42,3.13,535.88
21.54,76.27,3550.25,22.81,3.9,792.96
22.57,40.81,2596.03,25.9,4.51,727.93
17.13,76.06,9303.97,22.31,2.18,449.64
34.46,89.62,9209.94,25.89,4.07,710.76
26.0,34.83,5079.71,17.32,4.91,681.65
19.13,71.04,8920.55,16.89,0.74,605.91
20.2,48.72,6223.37,33.81,2.1,721.36
26.51,63.46,7472.95,20.77,4.05,691.78
33.25,39.63,4202.64,37.84,0.77,652.94
30.16,41.11,8256.22,12.31,2.08,466.06
18.87,81.79,2706.92,36.72,2.12,760.02
26.64,32.93,7465.24,34.51,1.9,795.03
31.13,70.78,9819.52,10.87,3.29,453.73
15.2,85.57,3067.11,11.36,2.96,644.58
20.29,83.65,7909.85,25.47,1.21,461.94
20.58,61.06,4418.18,14.17,4.39,566.94
15.8,56.47,3790.52,30.95,3.31,319.11
33.84,67.51,1639.0,32.2,1.76,377.87
33.91,67.2,3303.4,38.19,4.82,562.76
28.96,52.25,7022.93,30.85,1.77,437.4
16.67,51.25,6622.38,39.46,3.42,723.0
16.6,78.49,3750.63,22.5,3.43,359.86
33.29,48.92,7707.2,19.6,2.19,566.34
32.08,76.39,6560.17,23.88,4.45,627.24
32.36,49.89,8969.67,20.06,3.64,754.71
26.54,45.6,2039.78,26.32,2.38,557.24
17.85,71.71,7989.61,30.18,0.56,383.71
15.48,53.43,5283.45,24.1,0.6,322.92
21.59,86.4,6408.55,11.58,4.44,690.74
21.14,86.03,4647.49,34.43,0.53,604.1
24.24,63.13,7556.96,20.76,0.88,528.4
23.97,30.88,4445.09,18.38,4.78,707.41
22.5,30.96,8227.11,26.8,3.43,648.47
19.22,59.54,3010.94,31.71,0.64,327.32
18.86,39.61,5710.44,15.44,4.14,398.1
31.03,78.76,2176.1,36.48,2.68,355.54
18.7,44.82,6247.93,22.35,1.58,588.26
30.41,46.26,5508.07,33.56,2.16,528.83
29.63,83.89,1618.12,21.84,2.21,639.63
20.26,88.95,7898.43,28.27,3.89,745.03
27.78,84.54,6523.7,35.45,4.84,458.0
17.3,45.85,5019.96,10.75,3.68,754.62
19.97,62.81,7098.07,11.71,3.98,701.61
21.7,64.7,3283.17,31.09,0.54,675.37
24.52,72.32,8620.57,24.25,1.62,724.29
25.99,37.77,7144.67,35.2,2.37,361.82
25.91,35.89,3588.04,31.58,1.79,638.1
28.33,72.31,4847.63,16.73,2.9,744.06
33.87,37.08,3817.56,28.89,4.87,459.81
16.43,62.54,9763.15,18.96,4.63,573.96
19.08,58.03,6791.65,25.82,3.17,355.31
31.6,69.44,4386.66,37.33,4.33,729.3
29.69,53.56,6690.5,30.38,4.29,500.35
31.26,49.45,8219.19,19.92,3.29,474.28
21.74,75.15,7288.86,16.26,2.23,450.24
27.94,81.73,7132.7,29.33,4.36,449.34
17.2,84.7,3852.43,32.59,1.26,503.81
33.33,67.44,3585.38,16.98,2.48,696.68
23.18,55.36,5421.09,19.01,2.47,427.6
20.64,83.61,7854.34,25.78,1.66,598.21
24.6,88.3,4074.32,13.64,1.23,699.73
25.54,46.4,7402.47,16.23,1.06,504.34
19.87,54.86,1487.42,34.31,2.86,547.73
27.93,36.29,3908.07,25.73,2.98,693.97
26.51,31.76,7378.4,17.94,0.64,591.14
25.2,48.77,2229.56,11.87,4.86,377.1
26.21,66.35,5032.82,18.84,4.17,375.83
33.19,30.3,2157.51,16.75,1.62,424.02
18.36,75.96,5877.37,37.65,4.56,662.66
20.78,45.28,1055.38,27.71,1.8,679.78
26.3,63.89,3265.89,39.17,4.07,539.66
31.71,65.93,9036.73,26.77,2.93,491.34
23.58,68.76,2327.01,35.27,1.73,648.32
18.58,37.41,4408.84,38.12,4.61,371.29
17.41,38.3,1673.31,35.09,1.99,338.52
20.83,58.6,4238.03,13.18,1.17,596.65
24.43,35.05,5950.76,27.49,2.58,547.13
15.17,43.47,4408.67,26.57,2.92,687.45
32.8,77.52,8994.72,16.93,1.29,581.17
15.12,75.95,6165.08,21.17,3.16,369.05
22.17,35.84,2331.96,11.64,4.4,736.5
23.93,56.43,9920.64,39.93,1.54,578.5
20.57,77.65,5809.65,15.82,4.76,738.0
34.3,75.43,8486.06,25.97,0.76,486.56
28.02,77.59,6849.07,10.24,4.14,670.77
32.12,80.69,6784.98,32.16,2.8,678.29
21.9,78.91,2824.71,32.39,1.85,337.6
33.13,76.5,6897.06,34.92,3.45,793.35
33.94,43.86,3512.77,29.72,3.37,582.1
19.99,71.14,9604.17,14.14,1.75,463.76
25.27,62.73,2185.01,15.57,3.07,397.23
16.46,55.52,6319.67,31.8,1.53,735.07
32.99,80.7,8053.95,25.96,3.89,596.13
23.95,41.54,7565.34,30.1,3.72,300.19
23.58,62.24,8327.24,28.99,4.91,640.53
32.52,79.14,3499.9,39.89,3.0,468.38
17.13,75.17,6913.98,35.27,2.26,459.12
19.59,83.59,9633.35,34.31,3.88,360.99
23.08,78.99,1371.93,10.35,0.73,652.46
22.33,55.03,6028.07,26.89,0.65,482.94
18.39,67.77,9369.22,27.5,1.56,368.48
24.03,52.03,9432.43,28.95,0.74,693.39
26.84,39.12,1384.87,16.71,4.93,333.09
17.5,41.03,1280.99,24.29,4.15,798.63
33.75,38.49,9966.29,32.36,2.45,589.41
18.67,49.48,5016.16,38.31,0.59,429.0
29.02,84.48,1620.57,22.22,4.92,607.24
15.86,83.88,4924.96,28.97,1.58,640.5
26.2,42.93,7160.54,30.04,0.68,619.99
23.95,73.35,7858.0,22.5,1.89,590.57
17.93,86.47,4752.23,15.3,2.62,479.1
33.77,83.48,7124.73,18.26,0.57,622.07
33.47,80.22,8049.82,37.45,2.46,495.24
17.3,42.28,6624.95,37.66,2.33,473.61
24.62,42.65,8437.95,27.48,2.25,620.28
27.6,77.69,7871.31,37.44,2.31,573.34
23.16,65.48,9131.54,35.63,4.52,430.76
24.29,54.41,7121.23,21.86,1.97,464.68
22.28,49.51,9008.7,25.42,1.99,337.78
24.65,60.52,4107.93,25.1,1.46,492.4
31.22,45.64,5471.11,18.39,4.25,710.16
21.17,41.24,1092.65,22.89,4.09,645.9
33.63,72.71,3083.32,14.82,2.78,586.08
19.35,77.7,6302.78,23.97,4.02,598.3
20.68,31.76,1232.97,16.3,0.5,782.3
17.22,55.17,4894.9,39.14,0.67,592.84
22.92,84.32,5236.76,12.19,4.23,675.6
18.87,49.62,1025.79,24.93,2.55,772.69
18.81,59.7,6170.63,32.73,2.17,477.0
23.15,31.34,9187.86,27.31,1.57,382.05
28.14,88.42,5546.87,23.9,0.79,715.64
17.06,36.45,1652.36,15.92,3.99,408.83
20.31,88.94,2554.25,16.36,0.87,726.79
30.51,70.54,3272.01,24.06,2.26,474.1
30.48,58.22,3181.7,30.9,3.42,447.81
15.53,30.12,8498.41,37.64,3.63,352.1
32.66,34.93,4715.46,36.79,3.81,657.26
26.14,62.92,1859.8,19.94,1.89,473.68
25.4,82.81,8960.55,39.58,1.65,585.59
22.47,81.71,9782.48,11.0,3.37,460.76
20.57,53.92,9244.96,29.65,4.2,501.52
28.45,70.56,9225.64,22.15,3.13,541.79
15.26,36.24,8174.15,17.57,1.13,596.53
23.15,60.14,4241.73,14.18,1.91,373.09
15.99,38.07,3706.84,16.95,4.89,301.5
20.0,32.25,8893.07,21.53,0.86,709.71
15.22,37.96,9596.67,20.1,3.05,561.83
16.36,31.98,7695.96,28.94,0.8,480.59
24.71,46.26,2380.94,19.48,4.5,497.3
16.95,30.81,3018.83,18.02,3.81,405.63
24.11,89.02,8485.51,10.11,1.7,563.55
34.05,52.55,2746.47,26.33,1.19,709.16
20.46,32.12,2262.68,12.04,0.6,643.39
18.75,62.81,6817.88,12.16,2.33,462.6
16.42,56.89,7498.02,29.8,2.91,555.94
28.66,66.98,3931.64,35.45,4.02,328.58
33.69,63.05,1212.89,15.78,4.98,320.88
32.74,77.41,4576.02,13.51,1.77,541.43
32.02,41.76,5558.26,14.98,0.65,758.04
30.0,56.95,6949.11,37.07,2.49,566.61
17.47,47.61,2837.15,37.88,2.42,691.01
24.66,62.7,5797.49,11.42,2.37,441.99
29.73,74.74,2118.18,18.07,2.01,368.19
18.89,85.93,4871.77,13.91,2.24,342.23
31.83,32.91,3947.57,27.4,3.75,788.56
28.95,78.56,2131.68,10.37,2.12,503.36
32.52,84.88,7009.53,11.84,4.27,433.25
22.89,31.51,6295.01,35.31,4.57,447.71
28.45,55.07,3527.08,32.42,2.47,591.14
26.57,82.76,3803.31,15.61,4.96,760.87
27.84,57.22,8647.75,32.07,2.92,549.5
33.38,30.12,3892.57,14.83,1.03,519.04
27.73,33.52,2444.67,24.02,3.49,309.81
27.05,68.53,1218.23,28.17,3.26,357.28
19.79,38.26,8906.73,27.88,3.59,608.52
21.02,66.68,4719.36,10.48,1.63,675.09
32.12,61.78,5821.94,26.5,2.98,605.31
29.09,73.46,8111.56,32.36,2.82,527.95
17.16,50.18,9506.14,34.37,1.62,797.71
17.16,36.44,3055.98,37.62,1.02,692.63
34.78,49.37,8987.82,29.09,3.4,346.17
32.17,35.84,7115.45,39.94,1.76,548.89
28.97,80.35,1462.05,20.98,0.57,585.51
22.62,83.06,7298.41,37.76,3.9,678.48
21.97,42.16,9743.62,39.99,0.87,776.95
25.07,39.08,5557.27,23.27,1.39,760.12
24.23,80.99,9219.22,14.19,3.0,478.61
28.15,45.64,3352.08,38.32,2.76,430.03
19.78,74.01,4133.14,20.91,1.34,759.74
15.31,46.31,7108.69,37.67,2.78,382.14
22.42,49.77,7223.59,23.93,1.96,314.29
32.04,59.58,2044.39,26.14,1.41,403.02
24.82,71.32,6379.3,13.51,1.22,443.12
33.02,67.6,3406.93,12.59,3.86,444.78
21.83,73.57,8617.86,21.52,0.77,332.61
27.3,69.62,7977.38,13.56,3.01,430.89
21.29,48.75,7335.11,17.74,1.48,656.62
22.99,44.83,7844.58,34.83,1.2,794.41
26.62,84.03,5153.62,38.46,3.12,619.69
30.33,85.25,9326.57,15.72,4.64,341.21
21.14,86.64,9393.58,27.08,0.95,656.1
20.03,86.79,6832.24,10.62,4.36,799.2
26.41,85.7,4559.55,18.71,3.3,350.55
25.4,68.34,2869.02,31.21,4.43,417.33
31.61,41.63,4174.97,22.9,2.94,532.22
16.39,77.24,1577.28,17.8,1.51,612.94
34.73,88.41,3180.02,11.21,0.88,558.83
18.93,37.41,1946.77,26.17,3.37,628.12
15.29,54.48,9204.92,34.74,4.75,478.09
24.23,35.95,4702.19,21.39,3.33,649.94
15.5,51.41,1907.61,16.35,4.55,368.16
18.51,79.89,9895.32,11.52,2.65,496.87
27.84,33.65,5170.12,24.32,1.24,457.63
20.53,66.81,3753.51,35.5,0.75,371.2
28.95,72.31,4486.08,39.89,3.75,646.53
32.67,62.92,7892.2,31.55,3.5,445.18
32.29,65.36,8628.61,32.74,2.72,768.83
26.82,46.21,1298.1,38.95,3.01,775.94
24.82,71.37,7280.77,25.3,1.79,710.83
26.28,72.29,4468.12,36.92,3.15,325.67
28.34,31.07,2106.41,22.34,4.67,347.22
21.17,34.04,5381.21,24.5,4.61,588.55
