temperature,humidity,ambient_light,soil_moisture,ethylene_ppb,CO2_ppm
23.43,72.42,8450.04,39.68,3.74,415.41
24.09,45.32,8085.75,28.1,2.33,366.4
31.93,84.52,1963.34,22.61,1.19,769.18
27.84,48.34,1814.58,27.15,2.77,419.1
29.26,42.0,6506.96,14.18,2.25,690.34
18.86,58.28,1258.43,21.25,3.13,599.7
32.55,32.07,8258.43,24.34,1.69,478.12
21.23,43.27,8897.3,28.25,3.63,344.39
29.53,55.9,9114.21,13.14,2.12,395.81
31.1,71.65,5749.51,23.65,3.35,437.28
34.13,46.11,9193.44,33.36,0.68,381.69
20.54,40.99,3941.29,23.98,0.92,615.8
20.39,41.5,9634.53,21.81,3.37,458.46
23.68,71.22,8696.55,23.21,4.25,729.93
32.07,35.47,6492.87,26.29,0.9,509.75
15.81,81.89,9515.75,26.24,1.91,376.1
16.5,84.26,1867.02,29.29,0.57,527.59
28.82,68.34,8419.43,16.3,2.14,784.36
32.62,74.17,6382.44,37.42,1.04,585.57
20.56,59.74,6596.6,33.01,2.82,774.34
28.08,46.52,7744.33,27.38,2.94,465.03
29.85,42.54,3249.42,18.41,1.19,603.06
27.35,81.17,3301.64,24.66,4.22,712.53
28.18,37.53,6881.95,15.96,4.51,606.85
23.72,78.76,6547.74,18.32,3.73,731.89
33.87,75.64,3196.21,29.72,3.53,417.48
16.86,88.18,5526.69,24.19,0.72,603.15
29.82,39.31,2886.63,28.03,0.53,530.5
17.75,47.05,8840.51,37.49,4.74,519.91
15.7,72.71,9311.21,27.59,4.76,418.44
17.51,58.31,3346.51,29.21,3.73,735.77
29.66,47.95,8460.6,31.69,0.82,453.7
20.33,77.23,4552.9,27.5,1.85,637.94
22.34,83.29,8530.79,34.27,4.37,748.22
17.46,30.49,8216.76,35.32,2.19,653.12
16.18,85.39,3025.48,38.88,3.47,512.9
15.97,76.14,5031.26,13.52,0.8,405.91
31.4,58.55,1190.9,15.63,0.78,487.51
17.72,57.95,8298.65,18.1,1.86,313.94
32.99,56.03,3372.31,28.45,1.0,442.27
27.01,62.76,7367.48,25.12,0.96,704.5
23.25,57.76,5599.27,11.09,2.15,518.02
33.49,59.78,4442.79,23.51,5.0,510.91
29.77,40.02,9428.0,18.92,1.47,532.85
26.62,88.7,3960.93,30.68,2.67,382.6
30.97,77.59,6577.44,11.37,4.8,583.2
20.5,81.34,1006.3,15.24,4.93,723.32
27.5,37.37,6487.34,10.81,4.93,482.0
22.01,63.76,7880.26,29.04,2.39,305.62
29.48,60.81,2038.45,29.57,1.7,587.58
17.12,48.66,1245.35,29.74,2.36,716.95
25.98,67.24,8926.0,18.82,1.31,781.37
25.75,58.46,3900.33,19.92,2.85,479.34
28.45,75.01,8857.44,15.56,3.47,788.93
16.4,52.82,9645.06,17.3,1.0,386.98
34.44,70.16,8522.7,17.81,5.0,488.16
16.01,30.16,6502.71,38.67,2.91,636.32
20.16,64.0,3223.79,31.29,1.64,419.88
27.46,73.31,8449.77,24.38,4.62,479.13
27.95,88.07,7377.05,15.85,4.21,316.2
33.43,46.46,4218.61,13.32,4.66,484.89
25.87,85.28,5934.34,31.95,2.65,436.77
29.61,41.63,7423.96,19.6,2.75,712.47
23.64,61.79,9584.68,22.52,3.72,557.8
27.27,80.98,4584.42,38.22,4.34,663.31
33.4,66.19,8912.89,16.3,2.74,684.33
22.92,58.4,5000.44,31.2,1.15,381.63
22.32,78.39,2989.02,20.18,2.54,741.75
16.67,40.14,3581.55,23.25,3.44,313.11
20.42,31.93,8243.27,13.84,4.5,320.94
18.46,77.95,3424.92,31.65,0.85,374.7
31.58,60.92,5810.03,22.09,0.51,758.11
24.37,74.1,5761.35,26.0,2.48,578.51
19.2,67.77,5200.06,26.71,3.7,669.1
15.7,50.98,5822.86,36.2,2.22,630.69
34.05,74.7,9540.75,18.24,4.97,612.51
16.73,34.93,1559.61,36.02,2.56,596.17
20.37,86.22,4773.34,24.89,3.98,504.82
34.74,39.49,7567.27,26.97,0.58,323.66
26.93,62.87,6777.91,34.77,4.03,678.62
15.16,70.77,2577.37,18.3,2.75,654.66
16.61,89.58,5833.64,21.41,4.3,357.48
33.99,69.12,2550.46,10.29,3.85,443.77
18.54,80.33,8825.11,31.38,4.36,672.61
27.84,56.29,8551.46,15.91,2.42,377.28
25.45,36.79,4990.43,24.93,3.45,506.49
19.74,43.24,9324.94,17.81,0.92,730.6
33.47,76.45,3978.98,32.51,1.43,435.32
25.37,85.47,8402.44,38.84,3.22,650.19
23.51,52.8,1450.93,21.57,2.83,630.25
27.08,32.22,8214.94,21.09,1.25,311.38
27.16,36.12,9986.21,29.13,4.39,367.41
28.43,30.24,6189.46,32.22,4.77,309.04
18.58,36.38,4294.86,12.17,1.76,621.47
21.56,73.49,5133.57,22.46,3.86,577.14
26.31,79.47,3363.74,14.69,2.31,309.93
21.81,55.18,6413.03,35.71,4.11,411.15
16.85,31.58,6104.31,12.88,3.6,603.1
27.49,60.15,3417.93,12.38,4.88,754.93
27.34,51.18,9539.77,31.92,1.62,399.9
21.71,87.77,3827.32,30.13,0.91,506.08
16.34,86.13,9051.91,29.79,4.85,466.23
19.84,30.3,1512.13,17.91,0.83,533.57
25.82,48.43,6355.64,19.83,3.1,382.37
33.99,86.88,5664.83,24.38,4.59,387.76
22.56,87.73,6999.15,25.55,1.32,414.12
15.02,78.43,6781.9,26.06,0.72,434.43
34.21,46.42,2167.45,32.11,1.67,564.86
17.58,37.34,6696.06,19.15,3.51,581.03
16.75,63.6,3418.01,13.44,0.87,600.15
27.87,87.6,4982.98,17.6,2.49,725.59
23.69,36.17,3922.31,13.68,1.34,393.74
23.98,76.06,2487.87,14.42,2.2,393.98
24.76,64.43,1849.24,12.52,2.77,571.88
33.32,58.21,6924.97,12.65,0.88,798.48
28.02,58.9,2597.53,18.92,4.86,448.61
26.49,73.27,9335.19,31.71,1.1,738.28
21.51,84.16,4965.71,19.98,2.49,308.88
20.15,65.02,3384.25,36.66,3.07,745.12
27.91,68.69,5925.87,11.08,3.78,531.34
16.22,79.47,5853.15,34.71,1.09,323.85
27.94,35.61,9252.84,26.05,4.91,768.26
29.35,71.66,4284.96,36.53,3.55,538.03
22.24,59.53,3390.2,35.95,2.45,489.71
20.87,83.35,5053.18,21.48,0.52,364.19
34.67,80.1,4532.22,33.86,0.61,444.5
17.8,33.36,6801.99,12.29,0.88,716.73
20.47,51.31,1465.78,16.2,4.9,730.79
27.15,54.96,1845.13,27.08,3.63,408.45
23.72,53.1,3336.45,21.34,1.4,363.76
17.66,62.64,3766.09,10.5,3.88,396.92
19.13,34.25,9324.33,34.45,0.77,791.57
21.48,67.3,7911.42,22.46,0.52,442.3
18.0,81.7,1816.96,20.53,1.78,335.0
20.03,72.08,9437.49,28.51,0.79,692.73
16.54,30.81,7028.1,15.35,2.99,730.35
28.09,36.92,8279.14,11.98,3.67,435.04
27.0,51.08,6795.26,35.06,1.54,427.37
27.82,89.7,8373.6,36.79,2.98,320.18
15.79,76.79,2867.44,22.77,2.32,440.61
30.51,71.57,5713.32,33.82,3.5,493.04
28.54,71.61,7285.12,18.25,2.29,616.31
23.59,57.71,8386.87,17.89,2.87,620.53
28.37,64.27,5618.5,24.78,1.71,502.66
28.03,36.33,8051.31,21.07,2.01,479.72
33.57,52.45,4616.55,20.44,2.4,766.51
23.82,84.64,7116.38,38.7,2.9,577.25
17.73,63.64,3269.05,38.18,2.02,716.92
19.74,80.02,7445.05,20.73,4.15,500.64
22.02,77.2,7091.25,25.29,1.65,415.87
26.28,51.7,9641.93,21.31,4.86,387.46
33.06,43.48,2931.38,37.99,4.57,692.56
27.43,48.97,5333.05,10.75,2.43,314.09
32.73,52.53,6045.01,13.02,3.38,341.97
21.08,79.05,7231.45,31.46,2.28,597.2
30.32,77.94,8524.7,27.39,1.05,308.85
33.82,72.19,3168.91,21.6,1.8,500.58
25.49,41.91,5063.4,10.51,4.3,708.93
16.65,84.03,3803.17,11.31,3.25,447.54
29.26,39.78,4887.48,29.81,2.33,526.7
34.77,30.06,7631.62,35.01,3.85,494.33
34.8,63.69,7441.94,30.44,0.86,499.99
16.01,54.36,3146.86,35.09,4.95,731.19
21.28,67.68,1416.61,20.44,1.04,474.23
21.14,34.37,2154.39,38.86,3.81,663.62
23.54,41.52,6464.02,17.96,4.55,514.69
16.34,59.17,3253.8,24.41,2.59,773.97
21.6,77.25,4093.64,36.17,3.78,319.11
30.85,74.64,9455.48,20.03,4.8,588.36
15.67,88.01,5163.99,33.92,0.62,765.38
15.75,53.71,1929.44,19.1,1.52,610.46
32.1,66.65,2067.45,12.02,1.9,419.64
23.28,43.15,6239.61,23.97,0.75,578.86
32.96,68.04,4719.5,16.45,4.16,322.96
27.78,51.37,5268.07,17.93,4.71,366.55
30.93,50.62,3239.71,38.97,0.76,339.57
18.39,88.1,8126.18,32.4,3.81,688.23
17.02,52.94,3949.92,23.9,1.51,690.83
29.86,38.72,5940.39,14.84,4.99,337.85
26.57,46.05,1155.55,23.43,1.94,320.34
15.22,36.42,8764.58,39.45,2.41,565.73
34.32,86.96,2899.76,15.84,3.0,552.48
33.63,49.53,7045.63,31.09,3.48,433.63
20.99,33.54,8002.81,17.81,2.23,450.6
32.96,71.78,4799.57,10.73,1.69,488.65
32.78,30.65,9249.89,16.02,3.96,437.07
23.35,87.58,4610.46,38.34,1.62,486.88
15.37,89.97,9945.24,16.66,3.21,382.04
25.24,68.31,2574.17,35.67,3.95,535.73
18.15,87.74,3661.86,29.85,2.36,770.83
22.69,68.56,8559.51,32.38,1.23,568.16
29.23,74.84,4718.45,21.14,3.62,307.92
30.53,31.38,9291.17,18.84,1.07,763.6
30.4,50.85,5948.45,39.58,4.43,797.11
18.25,72.93,5319.59,10.86,1.74,586.1
32.3,88.79,3139.27,14.85,3.73,678.97
16.25,44.88,7115.83,31.29,0.56,531.24
24.75,76.71,9510.55,27.95,0.83,555.66
24.7,42.37,6252.72,14.99,1.55,584.43
15.68,86.38,3614.31,38.12,4.56,662.91
28.07,44.82,6795.19,18.81,2.82,659.48
31.99,72.57,7089.21,15.2,3.87,375.75
15.71,40.67,2379.35,32.76,3.56,587.94
26.57,53.91,5803.05,32.2,4.59,509.3
19.31,71.71,4562.58,19.91,3.87,369.52
16.96,48.09,1609.37,11.4,4.17,703.76
27.26,62.71,9927.67,39.69,3.35,614.11
19.51,30.56,1863.16,13.3,4.06,523.11
21.98,73.06,9994.15,20.22,1.94,602.3
26.26,60.64,1313.9,31.62,4.45,384.07
22.7,46.98,9070.48,34.66,1.66,600.47
30.19,57.4,2464.56,18.7,3.51,648.23
18.77,34.23,4299.63,31.62,4.07,553.93
26.37,81.06,5152.76,30.45,4.08,556.13
18.92,48.29,1501.74,16.65,3.98,471.14
15.54,31.27,2712.8,29.75,1.91,605.14
15.92,32.2,4577.15,25.54,4.7,540.18
22.82,77.58,8257.37,34.96,2.83,710.7
28.92,50.55,1832.3,18.08,0.73,312.58
34.37,76.49,1373.67,20.71,2.31,430.6
32.6,64.13,1421.3,24.63,3.45,747.7
18.42,86.04,1093.47,23.58,2.43,604.65
17.24,72.9,8808.83,26.8,0.55,715.65
32.53,62.24,7852.35,37.53,0.91,449.47
26.83,55.73,5766.09,34.57,1.35,582.76
23.26,34.36,8541.92,19.88,4.45,678.18
19.98,75.09,7117.94,18.65,3.0,505.91
33.61,40.31,4902.99,33.04,3.1,302.98
23.44,59.1,2835.49,29.39,1.58,773.81
23.14,84.8,8613.09,26.37,1.54,727.0
25.16,40.84,1852.47,37.39,2.45,457.34
27.02,61.52,1612.93,13.73,0.88,481.52
32.81,63.65,8094.08,39.04,2.98,784.48
33.84,68.24,9124.16,18.85,2.13,719.07
34.71,43.53,5009.57,16.18,2.77,708.16
23.0,53.13,1047.79,33.78,3.35,705.79
17.7,55.15,3996.33,14.77,4.5,555.58
20.75,76.59,8933.02,25.79,4.43,678.07
26.71,48.87,5396.2,32.58,1.1,603.21
24.19,77.12,3195.47,34.24,0.69,416.51
32.89,54.65,7002.69,31.51,3.93,430.89
20.05,73.46,6983.46,22.8,4.33,408.9
25.76,67.3,7491.31,24.41,1.1,300.14
29.31,86.63,3533.69,22.83,2.09,646.99
25.16,59.58,8653.53,33.22,4.67,666.31
26.79,63.88,3337.05,23.21,1.92,651.1
15.87,88.62,8371.44,39.62,2.06,685.59
29.46,73.16,6104.59,15.64,3.91,467.62
24.13,75.27,6217.53,35.09,3.21,663.79
26.83,46.38,8969.04,21.71,1.85,399.13
18.8,58.99,8404.77,38.61,4.66,622.56
21.88,40.03,4053.09,24.35,0.65,449.04
29.43,59.93,7292.12,36.91,1.04,313.95
16.89,61.98,5479.95,22.23,2.56,574.78
33.3,64.29,9702.32,21.46,4.95,498.76
32.23,54.92,3450.47,35.81,1.74,305.87
17.54,32.21,3036.42,25.76,4.9,666.09
26.65,52.94,3108.2,20.27,2.08,587.15
31.05,56.47,1334.92,22.83,3.19,721.07
31.82,30.21,5373.81,11.42,0.96,785.49
18.37,40.64,1739.77,39.2,3.67,524.83
22.14,86.13,7804.34,18.05,3.97,347.06
33.94,40.61,7533.31,39.71,2.63,573.91
21.93,32.43,5224.96,31.58,3.17,476.04
31.3,65.77,7079.42,29.84,0.55,459.11
25.56,65.94,4859.62,25.33,2.63,392.58
24.67,45.42,6303.08,21.36,0.78,522.88
34.96,62.65,7458.21,33.87,1.39,432.87
22.06,87.82,4178.19,25.1,2.72,314.59
24.48,37.4,1080.78,25.3,0.69,796.69
34.61,89.39,7579.3,11.16,4.76,765.11
18.08,51.9,8811.06,38.93,3.79,552.48
31.36,86.14,5228.81,29.75,0.96,575.09
22.87,62.72,8140.21,14.42,4.4,529.84
17.73,33.24,6911.39,35.86,3.37,334.62
24.9,42.44,8245.79,12.13,3.14,762.55
18.4,46.97,3545.2,27.18,4.69,799.8
26.43,64.82,5297.94,27.23,1.05,526.58
29.88,72.25,9094.38,29.28,1.88,388.75
26.4,35.39,9159.51,21.46,1.43,558.25
26.85,80.61,7236.47,37.91,1.59,631.75
15.44,75.56,3322.82,33.26,2.17,460.43
15.67,74.15,4314.24,27.09,3.04,460.01
20.14,35.83,4495.83,19.68,0.72,673.28
24.43,41.24,3170.85,12.96,3.28,678.92
19.77,69.27,7467.86,20.37,3.53,669.3
27.84,72.8,1655.08,17.92,2.19,315.42
21.7,75.68,3462.31,13.29,1.19,462.18
32.74,67.56,1282.25,27.48,1.33,627.03
32.67,48.71,5487.2,10.2,2.78,430.66
19.83,48.87,5164.68,17.39,1.45,449.15
31.14,38.18,4764.17,32.25,1.46,777.65
27.62,46.88,5611.35,39.63,0.72,504.83
26.48,82.99,2105.21,19.99,4.32,465.07
21.21,39.47,5234.41,18.71,4.73,339.49
23.13,71.33,9830.08,26.2,2.37,464.76
26.02,38.48,1252.24,36.46,3.99,608.74
19.15,81.04,7892.9,14.03,1.78,608.51
28.49,55.14,8768.91,34.13,3.47,373.79
27.78,61.97,5026.43,10.0,1.8,546.3
15.72,64.68,6377.79,15.58,4.47,607.95
31.59,56.32,4217.43,35.12,2.58,728.35
27.71,56.47,4449.63,24.74,3.25,343.07
30.58,76.75,7309.45,27.05,4.68,644.93
21.68,54.54,7341.04,21.02,3.03,496.51
18.18,45.19,6990.47,37.84,1.39,393.26
31.56,57.51,8389.53,21.19,4.73,602.17
22.28,41.31,8837.42,12.23,2.31,644.51
23.67,64.14,2751.45,15.58,1.72,484.72
23.0,69.99,2957.58,27.38,4.98,401.76
20.61,39.72,1161.66,35.23,4.81,687.33
24.2,39.11,3257.18,17.86,0.68,667.78
26.22,67.66,6422.92,23.94,4.9,301.01
31.9,49.52,6972.11,10.73,3.49,734.06
20.39,31.67,7995.77,15.11,4.95,619.91
16.92,52.26,4699.58,20.53,0.97,573.88
23.8,32.21,6562.2,18.69,3.55,428.06
19.9,47.12,7895.63,31.45,2.68,591.4
31.8,86.41,2171.31,21.45,4.91,657.86
21.74,71.9,2741.26,28.59,1.52,404.49
32.02,43.77,5922.89,37.63,1.13,340.17
17.06,64.4,3988.81,14.61,3.87,654.21
17.92,45.51,1701.99,33.55,2.97,738.38
15.41,30.79,7480.29,19.66,3.07,428.61
32.43,82.74,9919.11,36.3,1.62,665.48
16.73,58.01,5586.1,26.56,3.49,308.88
16.5,85.49,1800.98,20.72,3.64,358.55
21.35,48.91,7030.96,36.46,1.06,476.39
17.18,75.08,1876.12,28.92,4.46,620.34
32.08,62.45,4713.86,30.93,1.78,431.75
20.41,79.94,5245.81,37.69,2.75,499.95
26.52,69.76,1706.11,16.15,3.47,462.77
28.21,71.11,7099.84,33.25,0.66,495.73
19.24,33.41,9976.17,29.64,4.09,672.13
18.83,30.3,1828.65,35.01,1.12,508.17
17.25,36.19,6836.55,19.75,2.83,712.1
25.53,77.9,7910.72,19.53,2.49,565.54
18.42,49.27,3100.21,26.19,2.97,541.02
32.47,42.77,9975.34,16.66,4.92,484.71
24.14,48.35,7424.44,29.31,1.44,634.71
24.03,48.32,8061.48,26.15,4.11,755.14
34.68,89.44,4206.71,26.36,4.21,318.17
21.76,38.13,6924.54,21.55,3.57,642.36
20.62,37.43,5408.01,34.73,2.74,400.82
26.82,63.6,5578.94,17.42,3.68,307.08
23.05,81.44,7882.97,22.42,2.73,500.97
24.35,30.41,9158.52,12.62,3.33,378.6
29.91,35.28,2772.72,21.74,4.33,478.82
16.33,65.62,2101.32,35.42,4.82,552.93
28.29,80.33,4824.78,39.43,4.65,647.46
28.17,38.57,3623.26,35.82,2.04,751.08
15.09,58.59,8637.64,36.84,2.47,791.36
34.93,83.45,4769.64,17.46,1.89,528.11
20.68,77.76,8208.78,19.59,3.3,341.06
24.48,35.45,5256.67,26.04,1.96,498.48
19.69,86.81,9643.15,29.58,0.52,324.79
24.54,41.46,4822.37,22.51,1.31,327.05
23.45,64.13,9835.13,37.26,4.19,717.62
26.34,89.43,8137.67,37.65,2.65,622.72
25.49,30.77,9199.03,10.2,2.7,788.34
19.29,40.8,3250.54,28.01,0.63,333.72
25.28,71.0,4163.96,36.87,1.69,459.57
33.15,86.29,9209.43,17.47,3.3,495.05
21.54,89.79,5386.68,39.82,4.76,587.36
33.8,55.37,4267.51,11.91,0.61,652.05
16.49,59.6,2880.08,10.08,2.01,456.35
21.09,74.37,2877.41,26.23,2.02,396.75
20.91,89.5,5788.22,35.61,2.02,419.48
27.96,80.94,8929.17,36.58,3.88,699.39
16.3,66.26,2054.91,26.58,4.65,406.66
30.09,57.71,1553.64,38.88,2.16,477.27
24.88,73.72,4227.46,16.68,4.72,581.65
18.42,64.83,6352.96,19.17,3.24,782.96
29.67,89.02,7689.3,39.68,3.19,472.31
28.71,34.81,3061.64,34.21,4.69,316.9
30.41,51.34,7304.93,33.01,1.21,443.22
29.17,59.32,1699.37,25.84,3.82,694.71
27.43,32.03,6925.18,15.27,3.68,715.19
29.24,73.83,6571.93,21.91,1.5,706.56
15.22,58.15,6611.63,17.3,1.44,650.77
25.3,40.5,9652.37,36.79,1.36,549.66
24.19,83.41,4713.97,34.37,2.27,537.0
18.7,67.03,4943.74,38.76,1.9,564.79
30.35,33.32,6681.73,18.52,2.87,689.66
21.07,30.58,7703.86,15.03,4.16,313.51
16.78,73.74,4821.84,35.04,4.28,634.58
22.29,52.5,2301.41,36.3,1.35,778.56
33.36,41.49,3991.73,17.34,1.93,745.43
23.33,75.93,2276.92,13.84,1.93,560.34
32.37,87.42,4404.56,38.48,2.97,658.56
27.21,82.38,3651.34,17.35,4.17,556.42
34.93,32.93,5909.17,39.05,1.87,771.32
27.95,76.03,2888.76,24.16,3.28,477.02
17.65,47.36,2158.24,10.41,3.19,506.51
22.72,56.42,9594.84,13.04,2.51,363.56
16.82,38.16,5772.64,35.64,2.68,701.71
18.07,50.62,3297.44,27.53,3.96,685.24
29.88,56.61,1868.11,34.68,2.65,633.2
24.31,70.2,5090.31,12.57,4.15,694.6
34.03,49.21,7927.17,12.69,4.58,755.09
30.68,55.94,2227.29,19.85,4.32,589.67
20.61,53.96,7100.38,25.36,0.91,578.43
19.49,40.77,4326.52,24.81,3.93,736.79
29.33,50.61,9396.83,13.85,1.42,414.98
33.17,87.99,7573.9,33.3,2.27,465.84
29.43,58.53,1757.06,19.48,2.51,304.48
31.41,83.08,6212.86,23.34,2.66,456.17
17.66,32.53,6981.01,14.64,4.95,731.01
23.36,50.66,9981.14,11.95,1.8,426.96
24.39,55.63,4413.47,29.83,3.38,523.09
29.36,64.47,8036.33,18.91,1.87,475.08
28.26,62.62,2559.53,30.46,2.79,577.49
22.95,76.62,9232.85,39.34,3.06,308.57
15.37,40.51,3238.36,26.0,2.08,638.77
22.29,38.98,9755.99,13.52,3.96,787.92
30.0,64.59,3933.02,21.08,4.06,543.74
33.27,62.6,9938.41,31.71,4.43,764.16
20.74,63.21,5373.02,21.73,0.85,413.02
15.26,31.49,9780.81,33.63,1.2,783.69
17.5,46.44,9056.38,23.12,2.38,556.11
26.84,50.71,3143.06,31.12,3.22,656.09
34.04,37.01,1161.92,26.26,3.94,631.47
20.63,86.27,1213.04,11.72,1.62,608.26
17.04,74.09,7599.68,16.35,1.31,387.28
25.71,67.59,2043.94,31.95,0.76,472.16
30.86,40.0,9276.39,15.95,0.74,584.87
24.64,49.06,1983.54,13.88,2.22,663.06
21.04,50.73,9337.34,30.27,0.77,347.52
23.07,63.51,6145.29,16.22,0.97,301.38
22.75,55.32,3630.76,14.64,1.1,569.57
20.28,77.09,5976.25,12.81,3.14,613.33
20.82,55.1,9212.66,16.51,0.53,680.72
18.51,63.95,9325.15,37.38,2.63,337.2
23.69,85.62,2203.94,11.52,3.67,583.0
25.08,49.12,5830.85,15.82,3.31,555.04
17.05,32.51,4915.05,18.1,1.75,326.55
34.4,72.96,6353.83,27.61,3.32,552.12
24.84,76.69,5741.44,18.91,1.07,359.25
27.14,68.28,9634.39,22.64,3.06,712.61
17.04,89.38,3101.9,13.04,3.44,761.67
16.39,49.25,2254.27,26.87,4.65,564.24
34.98,88.13,5525.46,33.82,3.78,411.57
21.67,75.49,9688.32,24.27,4.98,532.24
17.97,77.88,5038.23,34.6,2.47,405.48
18.17,65.58,8450.57,39.51,1.83,546.1
30.87,38.99,7170.98,11.52,1.3,752.96
33.44,84.23,4161.44,20.67,4.36,422.61
18.32,79.43,6580.43,21.35,1.7,663.69
34.21,84.59,2057.29,13.03,3.48,604.68
22.89,44.67,4910.65,22.15,4.77,788.06
23.88,71.64,3719.03,21.87,3.91,571.38
27.48,53.92,2330.22,27.91,3.01,545.71
15.22,36.6,7562.12,12.52,2.1,746.52
22.19,72.33,5376.91,11.04,3.5,336.52
33.92,42.28,9836.4,28.99,2.92,746.59
31.82,41.08,4664.78,17.65,0.6,620.63
19.59,46.3,9202.67,16.07,2.34,419.05
18.67,31.58,3037.89,21.1,2.32,388.49
18.24,77.79,7531.09,34.28,4.2,597.59
24.7,84.06,7705.31,16.55,2.17,460.57
22.21,65.64,8106.9,15.88,2.81,505.04
22.06,77.94,9599.15,19.3,2.03,565.13
29.06,30.75,2098.17,23.71,3.18,309.54
33.71,85.37,9601.52,32.13,3.75,453.51
22.58,80.32,2256.74,21.54,2.72,578.87
16.9,31.39,2284.56,28.55,2.25,455.0
28.5,67.49,1872.65,30.16,1.54,629.47
34.23,66.39,3552.33,20.03,4.09,588.62
28.94,72.76,5669.71,17.33,3.94,327.72
34.63,31.34,4417.87,24.27,4.64,608.4
16.75,55.86,1759.39,32.37,3.38,545.56
15.47,35.95,3731.66,37.61,2.71,514.35
15.8,53.26,2524.63,12.92,1.37,377.78
28.73,74.06,5162.09,13.29,4.38,572.35
23.16,55.64,9769.21,18.99,2.04,415.85
18.39,38.08,6574.94,30.99,2.57,555.96
21.34,48.32,5062.27,21.66,2.16,366.21
15.94,82.35,8580.19,26.98,4.22,389.88
20.86,46.91,2005.68,33.94,2.22,720.69
32.49,52.51,4689.07,15.8,3.21,586.65
17.35,51.0,1654.26,15.72,4.07,326.53
29.25,82.85,4930.66,36.3,0.99,551.33
25.39,63.12,8531.14,36.68,3.56,321.24
21.46,31.78,4172.99,39.28,4.46,488.97
34.02,57.1,1689.98,31.35,2.06,526.8
24.75,74.48,4335.49,32.2,1.46,728.89
34.66,31.1,8537.53,29.54,3.49,666.3
15.83,79.94,1032.57,34.38,2.97,661.29
17.04,81.9,8355.57,14.94,2.66,656.22
21.83,39.35,1811.98,30.11,4.6,698.59
26.5,40.71,7802.82,21.26,1.94,659.62
29.94,45.27,5401.75,16.88,0.75,567.08
